datetime,x_hz,y_dbm
2024-08-22 11:29:26.845833,107296647.84,-76.829826355
2024-08-22 11:29:27.849870,107296647.84,-80.2175979614
2024-08-22 11:29:28.853847,107296647.84,-85.1304931641
2024-08-22 11:29:29.857900,107296647.84,-87.9467926025
2024-08-22 11:29:30.861837,107296647.84,-83.1240386963
2024-08-22 11:29:31.865805,107296647.84,-76.7083969116
2024-08-22 11:29:32.869890,107296647.84,-77.394203186
2024-08-22 11:29:33.873875,107296647.84,-86.6200637817
2024-08-22 11:29:34.877872,107296647.84,-79.7800598145
2024-08-22 11:29:35.881827,107296647.84,-81.7040939331
2024-08-22 11:29:36.885792,107296647.84,-78.5725860596
2024-08-22 11:29:37.889798,107296647.84,-78.7804412842
2024-08-22 11:29:38.893827,107296647.11,-81.5801925659
2024-08-22 11:29:39.897845,107296647.84,-81.8975982666
2024-08-22 11:29:40.901806,107296647.84,-82.0021896362
2024-08-22 11:29:41.905744,107296647.11,-89.48802948
2024-08-22 11:29:42.909812,107296647.84,-77.8008422852
2024-08-22 11:29:43.913850,107296647.84,-78.7142333984
2024-08-22 11:29:44.917888,107296647.84,-78.5601959229
2024-08-22 11:29:45.921858,107296647.84,-75.8809890747
2024-08-22 11:29:46.925798,107296647.84,-77.6171951294
2024-08-22 11:29:47.929816,107296647.84,-83.4594421387
2024-08-22 11:29:48.933814,107296647.84,-83.7548141479
2024-08-22 11:29:49.937855,107296647.84,-84.3877029419
2024-08-22 11:29:50.941829,107296647.84,-81.2450485229
2024-08-22 11:29:51.945772,107296647.84,-77.8120574951
2024-08-22 11:29:52.949799,107296647.84,-78.3573760986
2024-08-22 11:29:53.953753,107296647.84,-79.8450546265
2024-08-22 11:29:54.957845,107296647.84,-77.2724761963
2024-08-22 11:29:55.961878,107296647.84,-79.9579925537
2024-08-22 11:29:56.965853,107296647.84,-75.1305770874
2024-08-22 11:29:57.969862,107296647.84,-75.5859451294
2024-08-22 11:29:58.973836,107296647.84,-75.9128799438
2024-08-22 11:29:59.977896,107296647.84,-76.656463623
2024-08-22 11:30:00.981916,107296647.84,-77.8177185059
2024-08-22 11:30:01.985924,107296647.84,-78.374671936
2024-08-22 11:30:03.008287,107296647.84,-74.96925354
2024-08-22 11:30:04.011149,107296647.84,-76.6073760986
2024-08-22 11:30:05.014939,107296647.84,-74.7586593628
2024-08-22 11:30:06.018483,107296647.84,-75.2473831177
2024-08-22 11:30:07.022645,107296647.84,-74.4867248535
2024-08-22 11:30:08.026767,107296647.84,-76.1031036377
2024-08-22 11:30:09.030925,107296647.84,-85.9490280151
2024-08-22 11:30:10.033765,107296647.84,-78.2869873047
2024-08-22 11:30:11.037839,107296647.84,-84.2385559082
2024-08-22 11:30:12.041876,107296647.84,-90.7187576294
2024-08-22 11:30:13.045885,107296647.84,-82.3163375854
2024-08-22 11:30:14.049978,107296647.84,-77.1945037842
2024-08-22 11:30:15.053991,107296647.84,-85.4069747925
2024-08-22 11:30:16.057981,107296647.84,-80.4924926758
2024-08-22 11:30:17.061970,107296647.84,-74.7661056519
2024-08-22 11:30:18.065955,107296647.84,-75.8798217773
2024-08-22 11:30:19.070040,107296647.84,-73.4071502686
2024-08-22 11:30:20.074058,107296647.84,-73.3987045288
2024-08-22 11:30:21.078110,107296647.84,-78.9151992798
2024-08-22 11:30:22.082099,107296647.84,-88.5462875366
2024-08-22 11:30:23.086097,107296647.84,-82.5545806885
2024-08-22 11:30:24.090104,107296647.84,-81.7333526611
2024-08-22 11:30:25.094104,107296647.84,-77.9006576538
2024-08-22 11:30:26.098181,107296647.84,-75.2467956543
2024-08-22 11:30:27.102190,107296647.84,-74.5500411987
2024-08-22 11:30:28.106161,107296647.84,-72.451423645
2024-08-22 11:30:29.110146,107296647.84,-73.9716415405
2024-08-22 11:30:30.114199,107296647.84,-78.3619003296
2024-08-22 11:30:31.118288,107296647.84,-76.874206543
2024-08-22 11:30:32.122372,107296647.84,-75.1267242432
2024-08-22 11:30:33.126389,107296647.84,-76.390411377
2024-08-22 11:30:34.130470,107296647.84,-81.2583999634
2024-08-22 11:30:35.134454,107296647.84,-88.7323760986
2024-08-22 11:30:36.138512,107296647.84,-82.8292770386
2024-08-22 11:30:37.142543,107296647.84,-78.4014434814
2024-08-22 11:30:38.146570,107296647.84,-74.0567092896
2024-08-22 11:30:39.150566,107296647.84,-73.0592422485
2024-08-22 11:30:40.154576,107296647.84,-73.5198822021
2024-08-22 11:30:41.158562,107296647.84,-75.9286956787
2024-08-22 11:30:42.162532,107296647.84,-82.3547744751
2024-08-22 11:30:43.166675,107296647.84,-92.7556610107
2024-08-22 11:30:44.170863,107296647.84,-79.618522644
2024-08-22 11:30:45.174929,107296647.84,-78.242401123
2024-08-22 11:30:46.179051,107296647.84,-81.5119247437
2024-08-22 11:30:47.184000,107296647.84,-79.6112442017
2024-08-22 11:30:48.189598,107296647.84,-80.9477310181
2024-08-22 11:30:49.193708,107296647.84,-78.2512512207
2024-08-22 11:30:50.197893,107296647.84,-80.0587463379
2024-08-22 11:30:51.201897,107296647.84,-78.1283416748
2024-08-22 11:30:52.205954,107296647.84,-77.7118682861
2024-08-22 11:30:53.209993,107296647.84,-76.7033920288
2024-08-22 11:30:54.213971,107296647.84,-77.4635543823
2024-08-22 11:30:55.218011,107296647.84,-84.6465988159
2024-08-22 11:30:56.222093,107296647.84,-87.421333313
2024-08-22 11:30:57.226084,107296647.84,-91.5394821167
2024-08-22 11:30:58.230071,107296647.84,-84.0615692139
2024-08-22 11:30:59.234035,107296647.84,-81.1198806763
