evt,year,month,day,hour,minute,second,evlat,evlon,evdep,evmag,time_shift,half_duration,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp
C202102282337A,2021,2,28,23,37,15,-17.62,167.45,12.1,5.94,0,2.3,6.66e+17,8.4e+16,-7.49e+17,1.34e+17,-7.26e+17,-1.7999999999999998e+16
C202103020923A,2021,3,2,9,23,2,21.78,121.08,30.4,5.45,0,1.3,-8.48e+16,2.0799999999999997e+17,-1.2299999999999998e+17,7800000000000000.0,-6.19e+16,2.85e+16
C202103022122A,2021,3,2,21,22,45,43.93,148.01,35.8,5.85,0,2.1,5.7499999999999994e+17,-1.8699999999999997e+17,-3.8799999999999994e+17,1.75e+17,4.0199999999999994e+17,-3.45e+17
C202103031016A,2021,3,3,10,16,10,39.65,22.14,12.0,6.26,0,3.3,-2.96e+18,1.6899999999999997e+18,1.27e+18,-3.29e+17,-6.14e+17,-1.66e+18
C202103041327A,2021,3,4,13,27,36,-37.36,179.87,52.1,7.23,0,10.1,3.64e+19,-1.03e+20,6.64e+19,3.6e+18,7.1e+18,-2.13e+19
C202103041653A,2021,3,4,16,53,11,-14.51,167.13,186.7,6.22,0,3.1,2.48e+18,-7e+17,-1.78e+18,-6.88e+17,-2.57e+17,1.26e+18
C202103041741A,2021,3,4,17,41,25,-29.58,-177.03,41.4,7.44,0,12.7,1.44e+20,-9.3e+18,-1.3499999999999998e+20,1.87e+19,1.05e+20,-3.5499999999999996e+19
C202103041928A,2021,3,4,19,28,27,-29.11,-176.77,36.6,8.07,0,26.6,9.78e+20,-6.4e+19,-9.14e+20,2.5399999999999997e+20,1.2499999999999997e+21,-2.56e+20
S202103042312A,2021,3,4,23,12,57,-28.49,-176.16,29.0,6.73,0,5.6,1.55e+19,-4.1199999999999995e+18,-1.1399999999999998e+19,2.26e+18,7.629999999999999e+18,-2.27e+18
S202103050230A,2021,3,5,2,30,35,-28.62,-176.18,20.0,6.36,0,3.7,3.8699999999999995e+18,-6.83e+17,-3.18e+18,4.22e+17,2.53e+18,-5.36e+17
C202103050732A,2021,3,5,7,32,54,-1.97,98.95,34.6,5.74,0,1.8,4.0199999999999994e+17,-2.3699999999999997e+17,-1.65e+17,2.77e+17,-1.71e+17,1.79e+17
C202103050813B,2021,3,5,8,13,43,-29.27,-176.34,13.6,6.01,0,2.5,1.08e+18,-7e+16,-1.01e+18,1.2999999999999998e+17,7.659999999999999e+17,-2.22e+17
C202103050959A,2021,3,5,9,59,58,-28.89,-176.29,19.5,5.53,0,1.4,2.22e+17,-4.819999999999999e+16,-1.7399999999999997e+17,3.89e+16,1.4399999999999998e+17,-3.52e+16
C202103051424A,2021,3,5,14,24,49,-28.89,-176.62,14.4,6.3,0,3.5,2.66e+18,6.799999999999999e+16,-2.73e+18,6.3e+17,2.14e+18,-7.92e+17
C202103051857A,2021,3,5,18,57,20,-28.54,-176.34,14.8,5.47,0,1.3,1.62e+17,-1600000000000000.0,-1.5999999999999997e+17,2.94e+16,1.2e+17,-1.79e+16
S202103051934A,2021,3,5,19,34,52,-30.15,-176.88,12.0,5.59,0,1.6,1.77e+17,-3.24e+16,-1.4499999999999997e+17,8.72e+16,2.24e+17,-7.59e+16
C202103051937A,2021,3,5,19,37,8,-28.3,-177.93,12.0,5.79,0,1.9,-5.51e+17,1.0399999999999998e+17,4.4599999999999994e+17,-1.42e+17,-600000000000000.0,3.17e+17
C202103051940A,2021,3,5,19,40,35,-28.31,-177.93,21.7,5.71,0,1.7,-4.66e+17,1.56e+17,3.1e+17,-1.2e+17,1.34e+16,1.77e+17
C202103052026A,2021,3,5,20,26,36,-30.04,-176.61,12.0,5.89,0,2.2,6.399999999999999e+17,-1.2e+16,-6.28e+17,1.83e+17,5.45e+17,-1.39e+17
C202103052110A,2021,3,5,21,10,8,-29.03,-178.37,12.0,5.31,0,1.1,-1.06e+17,2.8599999999999996e+16,7.709999999999998e+16,1.42e+16,3.23e+16,6e+16
C202103052317A,2021,3,5,23,17,30,-28.63,-176.48,20.5,5.18,0,0.9,7.44e+16,-4499999999999999.5,-6.99e+16,3200000000000000.0,1.15e+16,5400000000000000.0
C202103060016A,2021,3,6,0,16,22,-37.43,179.74,12.0,6.27,0,3.3,-2.8499999999999995e+18,8.9e+17,1.96e+18,6.449999999999999e+17,1.2e+18,1.41e+18
C202103060359A,2021,3,6,3,59,47,-29.71,-176.33,12.0,5.64,0,1.6,2.5099999999999997e+17,-8600000000000000.0,-2.42e+17,8.759999999999998e+16,2.4399999999999997e+17,-5.96e+16
C202103060605A,2021,3,6,6,5,46,-37.3,-179.93,12.0,5.29,0,1.1,-1.0099999999999998e+17,2.26e+16,7.85e+16,-1.4799999999999998e+16,-2.43e+16,4.69e+16
C202103060702A,2021,3,6,7,2,24,-28.51,-178.07,12.0,5.7,0,1.7,-4.2e+17,2.4e+17,1.7999999999999997e+17,5.96e+16,1.3799999999999998e+17,2.1499999999999997e+17
C202103060716B,2021,3,6,7,16,29,-28.48,-178.07,12.0,6.1,0,2.7,-1.66e+18,7e+17,9.59e+17,7.4e+16,4.8799999999999994e+17,8.589999999999999e+17
C202103060720A,2021,3,6,7,20,29,-28.48,-178.05,14.9,5.84,0,2.0,-7.31e+17,2.75e+17,4.57e+17,-6.99e+16,1.25e+17,2.92e+17
C202103060937A,2021,3,6,9,37,58,-28.36,-177.92,12.0,5.4,0,1.2,-1.5199999999999997e+17,5.57e+16,9.6e+16,-5500000000000000.0,4.31e+16,7.62e+16
C202103061034A,2021,3,6,10,34,47,-28.4,-177.99,12.0,6.15,0,2.9,-1.91e+18,7.81e+17,1.13e+18,1.2299999999999998e+17,6.56e+17,1.0599999999999999e+18
C202103061205A,2021,3,6,12,5,23,-28.39,-177.95,12.0,6.25,0,3.3,-2.78e+18,9.989999999999999e+17,1.78e+18,3e+17,7.31e+17,1.5499999999999997e+18
C202103061312A,2021,3,6,13,12,5,-28.27,-177.91,12.0,6.16,0,2.9,-1.6999999999999997e+18,5.0199999999999994e+17,1.2e+18,-2.63e+17,5.63e+17,1.4399999999999997e+18
